Section 7 - Contingency Planning,,,,,,,,,
Question #,Question Text,Indicator,Question Responses,Education,Risk,Risk Indicated,Required?,Reference,
,,,All of the above. ,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Describe requirements for users to report suspicious activities in the organization and for the cybersecurity department to manage incident response. ",1,,Required,"HIPAA: §164.308(a)(6)(i) 
NIST CSF: DE.AE, RS.CO, RC.CO, PR.PS, RS.IP 
HPH CPG: 7, 18, 19 
HICP: TV1 - Practice # 8",
,,,"Our security incident response plan is tested as needed (for example, when activated in real-world situations) but not on a periodic basis.",Consider documenting your incident response plan in your policies and procedures and testing the plan periodically using a documented process. The incident plan should cover broad categories of incidents to prepare for. Testing the incident plan is an effective means of preparation and training. Describe requirements for users to report suspicious activities in the organization and for the cybersecurity department to manage incident response. ,0,,Required,"HIPAA: §164.308(a)(6)(i) 
NIST CSF: DE.AE, RS.CO, RC.CO, PR.PS, RS.IP 
HPH CPG: 7, 18, 19 
HICP: TV1 - Practice # 8",
,,,We do not have a process for managing security incidents or an incident response testing plan.,"Develop an incident response plan that covers broad categories of incidents to prepare for. Ensure that security incident response, reporting, and mitigation procedures are followed by workforce members, are conducted in a timely manner, and their outcomes are properly documented and communicated to the appropriate workforce members. Also consider testing the plan to ensure its effectiveness. Describe requirements for users to report suspicious activities in the organization and for the cybersecurity department to manage incident response. ",0,,Required,"HIPAA: §164.308(a)(6)(i) 
NIST CSF: DE.AE, RS.CO, RC.CO, PR.PS, RS.IP 
HPH CPG: 7, 18, 19 
HICP: TV1 - Practice # 8",
,,,I don't know.,"Develop an incident response plan that covers broad categories of incidents to prepare for. Ensure that security incident response, reporting, and mitigation procedures are followed by workforce members, are conducted in a timely manner, and their outcomes are properly documented and communicated to the appropriate workforce members. Also consider testing the plan to ensure its effectiveness. Describe requirements for users to report suspicious activities in the organization and for the cybersecurity department to manage incident response. ",0,,Required,"HIPAA: §164.308(a)(6)(i) 
NIST CSF: DE.AE, RS.CO, RC.CO, PR.PS, RS.IP 
HPH CPG: 7, 18, 19 
HICP: TV1 - Practice # 8",
,,,Other.,"Consider developing an incident response plan that covers broad categories of incidents to prepare for. Ensure that security incident response, reporting, and mitigation procedures are followed by workforce members, are conducted in a timely manner, and their outcomes are properly documented and communicated to the appropriate workforce members. Also consider testing the plan to ensure its effectiveness. Describe requirements for users to report suspicious activities in the organization and for the cybersecurity department to manage incident response. ",0,,Required,"HIPAA: §164.308(a)(6)(i) 
NIST CSF: DE.AE, RS.CO, RC.CO, PR.PS, RS.IP 
HPH CPG: 7, 18, 19 
HICP: TV1 - Practice # 8",
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(6)(i) 
NIST CSF: DE.AE, RS.CO, RC.CO, PR.PS, RS.IP 
HPH CPG: 7, 18, 19 
HICP: TV1 - Practice # 8",
,Notes,,,,,,,,
10,Has your practice identified specific personnel as your incident response team?,,,,,,,,
,,,Yes.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Before an incident occurs, make sure you understand who will lead your incident investigation. Additionally, make sure you understand which personnel will support the leader during each phase of the investigation. At minimum, you should identify the top security expert who will provide direction to the supporting personnel.",1,,Required,"HIPAA: §164.308(a)(6)(ii) 
NIST CSF: RC.CO, GV.RM, PR.PS, DE.AE, RS.MA, RS.CO, RS.AN, RS.MI, ID.AM, GV.RR, GV.PO, GV.OV 
HPH CPG: 7, 19 
HICP: TV1 - Practice # 8",
,,,No. ,"Identify workforce members who need access to facilities in the event of an emergency, identify roles and responsibilities, and create a backup plan for accessing facilities and critical data. Before an incident occurs, make sure you understand who will lead your incident investigation. Additionally, make sure you understand which personnel will support the leader during each phase of the investigation. At minimum, you should identify the top security expert who will provide direction to the supporting personnel.",0,,Required,"HIPAA: §164.308(a)(6)(ii) 
NIST CSF: RC.CO, GV.RM, PR.PS, DE.AE, RS.MA, RS.CO, RS.AN, RS.MI, ID.AM, GV.RR, GV.PO, GV.OV 
HPH CPG: 7, 19 
HICP: TV1 - Practice # 8",
,,,I don't know.,"Identify workforce members who need access to facilities in the event of an emergency, identify roles and responsibilities, and create a backup plan for accessing facilities and critical data. Before an incident occurs, make sure you understand who will lead your incident investigation. Additionally, make sure you understand which personnel will support the leader during each phase of the investigation. At minimum, you should identify the top security expert who will provide direction to the supporting personnel.",0,,Required,"HIPAA: §164.308(a)(6)(ii) 
NIST CSF: RC.CO, GV.RM, PR.PS, DE.AE, RS.MA, RS.CO, RS.AN, RS.MI, ID.AM, GV.RR, GV.PO, GV.OV 
HPH CPG: 7, 19 
HICP: TV1 - Practice # 8",
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(6)(ii) 
NIST CSF: RC.CO, GV.RM, PR.PS, DE.AE, RS.MA, RS.CO, RS.AN, RS.MI, ID.AM, GV.RR, GV.PO, GV.OV 
HPH CPG: 7, 19 
HICP: TV1 - Practice # 8",
,Notes,,,,,,,,
11,How are members of your incident response team identified and trained?,,,,,,,,
,,,Workforce members are trained on their role and responsibilities as part of the incident response team (upon hire) as well as periodic reminders of our internal policies and procedures and testing exercises.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. At minimum, you should identify the top security expert who will provide direction to the supporting personnel. Ensure that the leader is fully authorized to execute all tasks required to complete the investigation.",1,,Required,"HIPAA: §164.308(a)(6)(ii) 
NIST CSF: PR.AT, RC.CO, GV.RM, PR.PS, DE.AE, RS.MA, RS.CO, RS.AN, RS.MI, ID.AM, ID.RA 
HPH CPG: 4, 7, 19 
HICP: TV1 - Practice # 8",
,,,Workforce members are trained on their role and responsibilities as part of the incident response team (upon hire).,"Train members of your incident response team both upon hire and during periodic review. Testing your incident response plan can be an effective training method. At minimum, you should identify the top security expert who will provide direction to the supporting personnel. Ensure that the leader is fully authorized to execute all tasks required to complete the investigation.",0,,Required,"HIPAA: §164.308(a)(6)(ii) 
NIST CSF: PR.AT, RC.CO, GV.RM, PR.PS, DE.AE, RS.MA, RS.CO, RS.AN, RS.MI, ID.AM, ID.RA 
HPH CPG: 4, 7, 19 
HICP: TV1 - Practice # 8",
,,,"Workforce members are verbally communicated about what their role and responsibility is on the incident response team, but this is not a formal process.","Consider formally documenting and training workforce members on matters regarding their role and responsibility on the incident response team. Testing your incident response plan can be an effective training method. At minimum, you should identify the top security expert who will provide direction to the supporting personnel. Ensure that the leader is fully authorized to execute all tasks required to complete the investigation.",0,,Required,"HIPAA: §164.308(a)(6)(ii) 
NIST CSF: PR.AT, RC.CO, GV.RM, PR.PS, DE.AE, RS.MA, RS.CO, RS.AN, RS.MI, ID.AM, ID.RA 
HPH CPG: 4, 7, 19 
HICP: TV1 - Practice # 8",
,,,We do not have a process to inform workforce members about their role and responsibility on the incident response team.,"Your practice may not be able to safeguard its information systems, applications, and ePHI if it does not identify members of its incident response team and assure workforce members are trained and that incident response plans are tested. At minimum, you should identify the top security expert who will provide direction to the supporting personnel. Ensure that the leader is fully authorized to execute all tasks required to complete the investigation.",0,,Required,"HIPAA: §164.308(a)(6)(ii) 
NIST CSF: PR.AT, RC.CO, GV.RM, PR.PS, DE.AE, RS.MA, RS.CO, RS.AN, RS.MI, ID.AM, ID.RA 
HPH CPG: 4, 7, 19 
HICP: TV1 - Practice # 8",
,,,I don't know.,"Your practice may not be able to safeguard its information systems, applications, and ePHI if it does not identify members of its incident response team and assure workforce members are trained and that incident response plans are tested. At minimum, you should identify the top security expert who will provide direction to the supporting personnel. Ensure that the leader is fully authorized to execute all tasks required to complete the investigation.",0,,Required,"HIPAA: §164.308(a)(6)(ii) 
NIST CSF: PR.AT, RC.CO, GV.RM, PR.PS, DE.AE, RS.MA, RS.CO, RS.AN, RS.MI, ID.AM, ID.RA 
HPH CPG: 4, 7, 19 
HICP: TV1 - Practice # 8",
,,,Other.,"Your practice may not be able to safeguard its information systems, applications, and ePHI if it does not identify members of its incident response team and assure workforce members are trained and that incident response plans are tested. At minimum, you should identify the top security expert who will provide direction to the supporting personnel. Ensure that the leader is fully authorized to execute all tasks required to complete the investigation.",0,,Required,"HIPAA: §164.308(a)(6)(ii) 
NIST CSF: PR.AT, RC.CO, GV.RM, PR.PS, DE.AE, RS.MA, RS.CO, RS.AN, RS.MI, ID.AM, ID.RA 
HPH CPG: 4, 7, 19 
HICP: TV1 - Practice # 8",
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(6)(ii) 
NIST CSF: PR.AT, RC.CO, GV.RM, PR.PS, DE.AE, RS.MA, RS.CO, RS.AN, RS.MI, ID.AM, ID.RA 
HPH CPG: 4, 7, 19 
HICP: TV1 - Practice # 8",
,Notes,,,,,,,,
12,Has your practice evaluated and determined which systems and ePHI are necessary for maintaining business-as-usual in the event of an emergency?,,,,,,,,
,,,"Yes, we have a process of evaluating all hardware and software systems, including those of business associates, to determine criticality of the systems and ePHI that would be accessed by executing our contingency plan. This is documented along with our asset inventory.","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Define the standard practices for recovering IT/OT assets in the case of a disaster, including backup plans.",1,,Required,"HIPAA: §164.308(a)(7)(i) 
NIST CSF: GV.OC, GV.RM, PR.AA, PR.IR, PR.PS, RS.MA 
HPH CPG: 19 
HICP: TV1 - Practice # 10",
,,,"Yes, we have identified which information systems are more critical than others, including those of business associates, but have not formally documented this in our contingency plan.","Consider documenting this process and include all mission-critical systems in your contingency plan. Define the standard practices for recovering IT/OT assets in the case of a disaster, including backup plans.",0,,Required,"HIPAA: §164.308(a)(7)(i) 
NIST CSF: GV.OC, GV.RM, PR.AA, PR.IR, PR.PS, RS.MA 
HPH CPG: 19 
HICP: TV1 - Practice # 10",
,,,"No, we have not implemented a process for identifying and assessing criticality of information systems.","Consider evaluating all hardware and software systems, including those of business associates, to determine criticality of the systems and ePHI that would be accessed. Document this process and include all mission-critical systems in your contingency plan. Define the standard practices for recovering IT/OT assets in the case of a disaster, including backup plans.",0,,Required,"HIPAA: §164.308(a)(7)(i) 
NIST CSF: GV.OC, GV.RM, PR.AA, PR.IR, PR.PS, RS.MA 
HPH CPG: 19 
HICP: TV1 - Practice # 10",
,,,I don't know.,"Consider evaluating all hardware and software systems, including those of business associates, to determine criticality of the systems and ePHI that would be accessed. Document this process and include all mission-critical systems in your contingency plan. Define the standard practices for recovering IT/OT assets in the case of a disaster, including backup plans.",0,,Required,"HIPAA: §164.308(a)(7)(i) 
NIST CSF: GV.OC, GV.RM, PR.AA, PR.IR, PR.PS, RS.MA 
HPH CPG: 19 
HICP: TV1 - Practice # 10",
,,,Other.,"Consider evaluating all hardware and software systems, including those of business associates, to determine criticality of the systems and ePHI that would be accessed. Document this process and include all mission-critical systems in your contingency plan. Define the standard practices for recovering IT/OT assets in the case of a disaster, including backup plans.",0,,Required,"HIPAA: §164.308(a)(7)(i) 
NIST CSF: GV.OC, GV.RM, PR.AA, PR.IR, PR.PS, RS.MA 
HPH CPG: 19 
HICP: TV1 - Practice # 10",
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(7)(i) 
NIST CSF: GV.OC, GV.RM, PR.AA, PR.IR, PR.PS, RS.MA 
HPH CPG: 19 
HICP: TV1 - Practice # 10",
,Notes,,,,,,,,
13,"How would your practice maintain access to ePHI in the event of an emergency, system failure, or physical disaster?",,,,,,,,
,,,We have implemented procedures and mechanisms for obtaining necessary electronic protected health information during various types of emergencies.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. ",1,,Required,"HIPAA: §164.312(a)(2)(ii) 
NIST CSF: PR.AA, PR.IR, GV.OC, PR.DS, PR.PS, PR.MA, RS.MA, RS.CO 
HPH CPG: 19 
HICP: N/A",
,,,We have mechanisms in place to obtain access to ePHI during an emergency but do not have procedures documenting how these mechanisms are to be utilized.,"Document procedures to describe how your practice will maintain access to ePHI in the event of an emergency, system failure, or physical disaster. Your practice might not be able to recover ePHI and other health information during an emergency or when systems become unavailable if it does not backup ePHI by saving an exact copy to a magnetic disk/tape or a virtual storage (e.g., cloud environment).",0,,Required,"HIPAA: §164.312(a)(2)(ii) 
NIST CSF: PR.AA, PR.IR, GV.OC, PR.DS, PR.PS, PR.MA, RS.MA, RS.CO 
HPH CPG: 19 
HICP: N/A",
