Section 6 - Security and Business Associates,,,,,,,,
Question #,Question Text,Indicator,Question Responses,Education,Risk,Risk Indicated,Required?,Reference
,,,No. We do not obtain assurances from business associates who access another covered entity's ePHI on our behalf.,Make sure your practice has BAAs in place with covered entities for which your practice is a Business Associate as well as subcontractors to those covered entities who contract with your practice,0,,Required,"HIPAA: §164.308(b)(2) 
NIST CSF: N/A 
HPH CPG: 10 
HICP: N/A"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(b)(2) 
NIST CSF: N/A 
HPH CPG: 10 
HICP: N/A"
,Notes,,,,,,,
14,Does the organization require business associates and third-party vendors to implement security requirements more stringent than required in the HIPAA Rules?,,,,,,,
,,,"Yes, contracts with vendors or BAs outline requirements to follow the HIPAA Rules as applicable to BAs with additional cybersecurity protocols.",This is the most effective of the options provided. The HIPAA Rules require a covered entity obtain satisfactory assurances from its business associates that it will appropriately safeguard PHI it receives or creates on behalf of the covered entity. Organizations could consider protocols within their business practice to include enhanced cybersecurity and supply chain requirements beyond those required by the HIPAA Rules that third parties can follow and how compliance with the requirements may be verified. Rules and protocols for information sharing between the organization and suppliers are detailed and included in contracts between the two.,1,,,"HIPAA: N/A 
NIST CSF: GV.SC 
HPH CPG: 13 
HICP: N/A"
,,,"No, contracts with vendors or BAs outline requirements to follow the HIPAA Rules as applicable to BAs without additional cybersecurity protocols.",The HIPAA Rules require a covered entity to obtain satisfactory assurances from its business associate that it will appropriately safeguard PHI it receives or creates on behalf of the covered entity. Organizations could consider protocols within their business practice to include enhanced cybersecurity and supply chain requirements beyond those required by the HIPAA Rules that third parties can follow and how compliance with the requirements may be verified. Rules and protocols for information sharing between the organization and suppliers are detailed and included in contracts between the two.,0,,,"HIPAA: N/A 
NIST CSF: GV.SC 
HPH CPG: 13 
HICP: N/A"
,Notes,,,,,,,
15,How do you track and verify business associate and third-party vendor compliance to security policies and where are these policies documented?,,,,,,,
,,,The organization has developed a risk management program with policies and procedures that guide the implementation and monitoring of business associate and third-party vendor activities related to cybersecurity compliance. ,"This is the most effective of the options provided. The organization could require business associate and third-party vendor to disclose cybersecurity features, functions, and known vulnerabilities of their products and services for the life of the product or the term of service. Contracts could require evidence of performing acceptable security practices through self-attestation, conformance to known standards, certifications, or inspections. Business associates and third-party vendors could be monitored to ensure they are fulfilling their security obligations throughout the relationship lifecycle. ",1,,,"HIPAA: N/A 
NIST CSF: GV.SC 
HPH CPG: 13 
HICP: N/A"
,,,The organization verifies business associate and third-party vendor status each year but does not perform evaluations. ,"The organization could require business associates and third-party vendors to disclose cybersecurity features, functions, and known vulnerabilities of their products and services for the life of the product or the term of service. Contracts could require evidence of performing acceptable security practices through self-attestation, conformance to known standards, certifications, or inspections. Business associates and third-party vendors could be monitored to ensure they are fulfilling their security obligations throughout the relationship lifecycle. ",0,,,"HIPAA: N/A 
NIST CSF: GV.SC 
HPH CPG: 13 
HICP: N/A"
,Notes,,,,,,,
,,,,,,,,
Threats & Vulnerabilities,,,,,,Likelihood,Impact,Risk Score
1,Uncontrolled access to ePHI to business associates/vendors,,,,,,,
,,,Access to unauthorized segments of the network,,,,,
,,,Carelessness causing disruption to computer systems,,,,,
,,,Carelessness exposing ePHI,,,,,
,,,Damage to public reputation due to breach,,,,,
,,,Disclosure of passwords and or login information,,,,,
,,,ePHI accessed by unauthorized entities,,,,,
,,,Exploiting unpatched systems and software,,,,,
,,,Unauthorized access to ePHI,,,,,
,,,Unauthorized modification to ePHI,,,,,
2,Inadequate business associate/vendor agreements,,,,,,,
,,,Inability to hold third parties accountable to securing your ePHI,,,,,
,,,Breach goes unreported due to lack of established communication requirements with third-party,,,,,
,,,Provide sensitive information and ePHI without authorization,,,,,
,,,Loss of support services or contracts,,,,,
,,,Damage to public reputation or litigation,,,,,
3,No security or privacy assurances obtained from business associates/vendors,,,,,,,
,,,Information system or facility access granted to unauthorized personnel,,,,,
,,,Adversarial access to unauthorized network segments,,,,,
,,,Corrective enforcement outcomes from regulatory agencies,,,,,
,,,Disclosure of passwords and or login information,,,,,
,,,Social engineering or hacking attack affecting third-party impacts your practice's data,,,,,
,,,Disruption of access to data due to inadequate contractor security controls,,,,,
,,,Unauthorized access to or modification of ePHI/sensitive information,,,,,
,,,Exploitation of unsecured third-party systems and software,,,,,
,,,"Information disclosure or theft (ePHI, proprietary, intellectual, or confidential)",,,,,
4,Failure to update or review business associate contracts,,,,,,,
,,,Contract termination due to expiration,,,,,
,,,Provide sensitive information and ePHI without authorization,,,,,
,,,Disruption of access to data due to contract dispute or lapse,,,,,
,,,Inability to determine the criticality of access granted to third parties,,,,,
,,,"Fines, litigation, and financial penalties from non-compliance",,,,,
