Section 5 - Security and the Practice,,,,,,,,
Question #,Question Text,Indicator,Question Responses,Education,Risk,Risk Indicated,Required?,Reference
,,,We do not have physical protections in place to manage facility security risks.,"Ensure only authorized access to ePHI and facilities is allowed by implementing policies and procedures to limit physical access systems and facilities housing ePHI. Consider implementing policies and procedures to safeguard the facility and equipment from unauthorized tampering, theft, or physical access. Always keep data and network closets locked. Grant access using badge readers rather than traditional key locks. Disable physical network ports that are not in use. Maintain physical network ports as inactive until an activation request is authorized. This minimizes the risk of an unauthorized user ""plugging in"" to an empty port to access to your network. In conference rooms or waiting areas, establish guest networks that separate organizational data and systems. This separation will limit the accessibility of private data from guests visiting the organization. Validate that guest networks are configured to access authorized guest services only.",0,,Addressable,"HIPAA: §164.310(a)(2)(ii) 
NIST CSF: ID.AM, PR.AA, PR.IR, PR.DS, DE.CM 
HPH CPG: 7, 16 
HICP: TV1 - Practice # 6"
,,,I don't know.,"Ensure only authorized access to ePHI and facilities is allowed by implementing policies and procedures to limit physical access systems and facilities housing ePHI. Consider implementing policies and procedures to safeguard the facility and equipment from unauthorized tampering, theft, or physical access. Always keep data and network closets locked. Grant access using badge readers rather than traditional key locks. Disable physical network ports that are not in use. Maintain physical network ports as inactive until an activation request is authorized. This minimizes the risk of an unauthorized user ""plugging in"" to an empty port to access to your network. In conference rooms or waiting areas, establish guest networks that separate organizational data and systems. This separation will limit the accessibility of private data from guests visiting the organization. Validate that guest networks are configured to access authorized guest services only.",0,,Addressable,"HIPAA: §164.310(a)(2)(ii) 
NIST CSF: ID.AM, PR.AA, PR.IR, PR.DS, DE.CM 
HPH CPG: 7, 16 
HICP: TV1 - Practice # 6"
,,,Other.,"Ensure only authorized access to ePHI and facilities is allowed by implementing policies and procedures to limit physical access systems and facilities housing ePHI. Consider implementing policies and procedures to safeguard the facility and equipment from unauthorized tampering, theft, or physical access. Always keep data and network closets locked. Grant access using badge readers rather than traditional key locks. Disable physical network ports that are not in use. Maintain physical network ports as inactive until an activation request is authorized. This minimizes the risk of an unauthorized user ""plugging in"" to an empty port to access to your network. In conference rooms or waiting areas, establish guest networks that separate organizational data and systems. This separation will limit the accessibility of private data from guests visiting the organization. Validate that guest networks are configured to access authorized guest services only.",0,,Addressable,"HIPAA: §164.310(a)(2)(ii) 
NIST CSF: ID.AM, PR.AA, PR.IR, PR.DS, DE.CM 
HPH CPG: 7, 16 
HICP: TV1 - Practice # 6"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Addressable,"HIPAA: §164.310(a)(2)(ii) 
NIST CSF: ID.AM, PR.AA, PR.IR, PR.DS, DE.CM 
HPH CPG: 7, 16 
HICP: TV1 - Practice # 6"
,Notes,,,,,,,
3,"Do you restrict physical access to and use of your equipment (i.e., equipment that house ePHI)?",,,,,,,
,,,Yes. We have written policies and implemented procedures restricting access to equipment that house ePHI to authorized users only.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Restrict access to assets with potentially high impact in the event of compromise. This includes medical devices and internet of things (IoT) items (e.g., security cameras, badge readers, temperature sensors, building management systems).",1,,Required,"HIPAA: §164.310(a)(1) 
NIST CSF: ID.RA, PR.AA, PR.IR, DE.CM, PR.PS 
HPH CPG: 7, 11 
HICP: TV1 - Practice # 6"
,,,"Yes. We verbally authorize individuals to access equipment that house ePHI, but no written policies or procedures.","Ensure only authorized access to ePHI is allowed by implementing and documenting procedures to govern access to equipment that house ePHI. Restrict access to assets with potentially high impact in the event of compromise. This includes medical devices and internet of things (IoT) items (e.g., security cameras, badge readers, temperature sensors, building management systems).",0,,Required,"HIPAA: §164.310(a)(1) 
NIST CSF: ID.RA, PR.AA, PR.IR, DE.CM, PR.PS 
HPH CPG: 7, 11 
HICP: TV1 - Practice # 6"
,,,No. We do not have a process to restrict access to equipment that house ePHI to authorized users.,"Ensure only authorized access to ePHI is allowed by implementing and documenting procedures to govern access to equipment that house ePHI. Restrict access to assets with potentially high impact in the event of compromise. This includes medical devices and internet of things (IoT) items (e.g., security cameras, badge readers, temperature sensors, building management systems).",0,,Required,"HIPAA: §164.310(a)(1) 
NIST CSF: ID.RA, PR.AA, PR.IR, DE.CM, PR.PS 
HPH CPG: 7, 11 
HICP: TV1 - Practice # 6"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.310(a)(1) 
NIST CSF: ID.RA, PR.AA, PR.IR, DE.CM, PR.PS 
HPH CPG: 7, 11 
HICP: TV1 - Practice # 6"
