Section 4 - Security & Data,,,,,,,,
Question #,Question Text,Indicator,Question Responses,Education,Risk,Risk Indicated,Required?,Reference
,,,Log of personnel names.,"You should develop, document, and disseminate to workforce members an access control policy. The access control policy should address purpose, scope, roles, responsibilities, management commitment, the expected coordination among organizational entities, and compliance requirements. You should also maintain a list of workforce members with their corresponding level of access. This list should be reviewed and updated by the security officer. Implement single sign-on systems that automatically manage access to all software and tools once users have signed onto the network. Such systems allow the organization to centrally maintain and monitor access.",0,,Required,"HIPAA: §164.308(a)(3)(i) 
NIST CSF: PR.AT, PR.PS, PR.AA, PR.IR
HPH CPG: 3, 6 
HICP: TV1 - Practice #2, 3"
,,,"Access is granted by role, but we do not maintain a corresponding list of personnel.",Make sure your access control measures are effective and up-to-date. Implement a procedure for updating your log upon changes in the workforce to include access levels based on role within your practice. Any updates based on changes in the workforce should be verified by the security officer. Implement single sign-on systems that automatically manage access to all software and tools once users have signed onto the network. Such systems allow the organization to centrally maintain and monitor access.,0,,Required,"HIPAA: §164.308(a)(3)(i) 
NIST CSF: PR.AT, PR.PS, PR.AA, PR.IR
HPH CPG: 3, 6 
HICP: TV1 - Practice #2, 3"
,,,We do not keep a detailed log of workforce members or designate access levels based on role.,Make sure your access control measures are effective and up-to-date. Implement a procedure for updating your log upon changes in the workforce to include access levels based on role within your practice. Any updates based on changes in the workforce should be verified by the security officer. Implement single sign-on systems that automatically manage access to all software and tools once users have signed onto the network. Such systems allow the organization to centrally maintain and monitor access.,0,,Required,"HIPAA: §164.308(a)(3)(i) 
NIST CSF: PR.AT, PR.PS, PR.AA, PR.IR
HPH CPG: 3, 6 
HICP: TV1 - Practice #2, 3"
,,,Detailed log of personnel and access levels based on role.,Make sure your access control measures are effective and up-to-date. Implement a procedure for updating your log upon changes in the workforce to include access levels based on role within your practice. Any updates based on changes in the workforce should be verified by the security officer. Implement single sign-on systems that automatically manage access to all software and tools once users have signed onto the network. Such systems allow the organization to centrally maintain and monitor access.,0,,Required,"HIPAA: §164.308(a)(3)(i) 
NIST CSF: PR.AT, PR.PS, PR.AA, PR.IR
HPH CPG: 3, 6 
HICP: TV1 - Practice #2, 3"
,,,Log of personnel names and access levels.,Make sure your access control measures are effective and up-to-date. Implement a procedure for updating your log upon changes in the workforce to include access levels based on role within your practice. Any updates based on changes in the workforce should be verified by the security officer. Implement single sign-on systems that automatically manage access to all software and tools once users have signed onto the network. Such systems allow the organization to centrally maintain and monitor access.,0,,Required,"HIPAA: §164.308(a)(3)(i) 
NIST CSF: PR.AT, PR.PS, PR.AA, PR.IR
HPH CPG: 3, 6 
HICP: TV1 - Practice #2, 3"
,,,Other.,Make sure your access control measures are effective and up-to-date. Implement a procedure for updating your log upon changes in the workforce to include access levels based on role within your practice. Any updates based on changes in the workforce should be verified by the security officer. Implement single sign-on systems that automatically manage access to all software and tools once users have signed onto the network. Such systems allow the organization to centrally maintain and monitor access.,0,,Required,"HIPAA: §164.308(a)(3)(i) 
NIST CSF: PR.AT, PR.PS, PR.AA, PR.IR
HPH CPG: 3, 6 
HICP: TV1 - Practice #2, 3"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(3)(i) 
NIST CSF: PR.AT, PR.PS, PR.AA, PR.IR
HPH CPG: 3, 6 
HICP: TV1 - Practice #2, 3"
,Notes,,,,,,,
3,"What is your process for authorizing, establishing, and modifying access to ePHI?",,,,,,,
,,,"Our security procedures designate personnel authorized to grant, review, modify, and terminate access. Access levels are reviewed and modified as needed.","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Tailor access for each user based on the user's specific workplace requirements. Most users require access to common systems, such as e-mail and file servers. Implementing tailored access is usually called provisioning.",1,,Addressable,"HIPAA: §164.308(a)(4)(ii)(B) §164.308(a)(4)(ii)(C ) 
NIST CSF: PR.AA, PR.IR, PR.PS 
HPH CPG: 6 
HICP: TV1 - Practice # 3"
,,,Our security procedures designate personnel authorized to grant and terminate access. We do not have a procedure to review and modify access as needed.,"You should implement formal procedures to review and modify personnel access. Tailor access for each user based on the user's specific workplace requirements. Most users require access to common systems, such as e-mail and file servers. Implementing tailored access is usually called provisioning.",0,,Addressable,"HIPAA: §164.308(a)(4)(ii)(B) §164.308(a)(4)(ii)(C ) 
NIST CSF: PR.AA, PR.IR, PR.PS 
HPH CPG: 6 
HICP: TV1 - Practice # 3"
,,,"Access levels are granted, modified, and terminated as needed, but we do not have formal procedures.","You should implement a formal security procedure and designate authorized personnel to grant, review, modify, and terminate access. Access levels should be reviewed and modified as needed. Tailor access for each user based on the user's specific workplace requirements. Most users require access to common systems, such as e-mail and file servers. Implementing tailored access is usually called provisioning.",0,,Addressable,"HIPAA: §164.308(a)(4)(ii)(B) §164.308(a)(4)(ii)(C ) 
NIST CSF: PR.AA, PR.IR, PR.PS 
HPH CPG: 6 
HICP: TV1 - Practice # 3"
,,,"We do not have a process in place to grant, modify, or terminate access.","You should implement formal procedures to grant, modify, review, and terminate personnel access. Access levels should be reviewed and modified as needed. Tailor access for each user based on the user's specific workplace requirements. Most users require access to common systems, such as e-mail and file servers. Implementing tailored access is usually called provisioning.",0,,Addressable,"HIPAA: §164.308(a)(4)(ii)(B) §164.308(a)(4)(ii)(C ) 
NIST CSF: PR.AA, PR.IR, PR.PS 
HPH CPG: 6 
HICP: TV1 - Practice # 3"
,,,I don't know. ,"You should implement formal procedures to grant, modify, review, and terminate personnel access. Access levels should be reviewed and modified as needed. Tailor access for each user based on the user's specific workplace requirements. Most users require access to common systems, such as e-mail and file servers. Implementing tailored access is usually called provisioning.",0,,Addressable,"HIPAA: §164.308(a)(4)(ii)(B) §164.308(a)(4)(ii)(C ) 
NIST CSF: PR.AA, PR.IR, PR.PS 
HPH CPG: 6 
HICP: TV1 - Practice # 3"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Addressable,"HIPAA: §164.308(a)(4)(ii)(B) §164.308(a)(4)(ii)(C ) 
NIST CSF: PR.AA, PR.IR, PR.PS 
HPH CPG: 6 
HICP: TV1 - Practice # 3"
,Notes,,,,,,,
4,How much access to ePHI is granted to users or other entities?,,,,,,,
,,,Minimum access necessary based on the user's formal role.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. As user accounts are established, the accounts must be granted access to the organization's computers and programs, as appropriate to each user. Consider following the ""minimum necessary"" principle associated with the HIPAA Privacy Rule. Allow each user access only to the computers and programs required to accomplish that user's job or role in the organization. This limits the organization's exposure to unauthorized access, loss, and theft of data if the user's identity or access is compromised.",1,,Required,"HIPAA: §164.502(b) 
NIST CSF: PR.AA, PR.IR, PR.PS, GV.RM, PR.DS 
HPH CPG: 3, 9 
HICP: TV1 - Practice # 3"
,,,Access is granted based on user duties and activities but not on any formal role or minimum necessary consideration.,"Policies and procedures outlining how users are granted only the minimum necessary access to ePHI should be documented and implemented based on the user role. Allowing a high degree of access to ePHI may have negative impacts to your practice. Unauthorized or inappropriate access to ePHI can compromise the confidentiality, integrity, and availability of your ePHI. As user accounts are established, the accounts must be granted access to the organization's computers and programs, as appropriate to each user. Consider following the ""minimum necessary"" principle associated with the HIPAA Privacy Rule. Allow each user access only to the computers and programs required to accomplish that user's job or role in the organization. This limits the organization's exposure to unauthorized access, loss, and theft of data if the user's identity or access is compromised.",0,,Required,"HIPAA: §164.502(b) 
NIST CSF: PR.AA, PR.IR, PR.PS, GV.RM, PR.DS 
HPH CPG: 3, 9 
HICP: TV1 - Practice # 3"
,,,No limit to access.,"Policies and procedures outlining how users are granted only the minimum necessary access to ePHI should be documented and implemented based on the user role. Allowing a high degree of access to ePHI may have negative impacts to your practice. Unauthorized or inappropriate access to ePHI can compromise the confidentiality, integrity, and availability of your ePHI. As user accounts are established, the accounts must be granted access to the organization's computers and programs, as appropriate to each user. Consider following the ""minimum necessary"" principle associated with the HIPAA Privacy Rule. Allow each user access only to the computers and programs required to accomplish that user's job or role in the organization. This limits the organization's exposure to unauthorized access, loss, and theft of data if the user's identity or access is compromised.",0,,Required,"HIPAA: §164.502(b) 
NIST CSF: PR.AA, PR.IR, PR.PS, GV.RM, PR.DS 
HPH CPG: 3, 9 
HICP: TV1 - Practice # 3"
,,,I don't know.,"Policies and procedures outlining how users are granted only the minimum necessary access to ePHI should be documented and implemented based on the user role. Allowing a high degree of access to ePHI may have negative impacts to your practice. Unauthorized or inappropriate access to ePHI can compromise the confidentiality, integrity, and availability of your ePHI. As user accounts are established, the accounts must be granted access to the organization's computers and programs, as appropriate to each user. Consider following the ""minimum necessary"" principle associated with the HIPAA Privacy Rule. Allow each user access only to the computers and programs required to accomplish that user's job or role in the organization. This limits the organization's exposure to unauthorized access, loss, and theft of data if the user's identity or access is compromised.",0,,Required,"HIPAA: §164.502(b) 
NIST CSF: PR.AA, PR.IR, PR.PS, GV.RM, PR.DS 
HPH CPG: 3, 9 
HICP: TV1 - Practice # 3"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.502(b) 
NIST CSF: PR.AA, PR.IR, PR.PS, GV.RM, PR.DS 
HPH CPG: 3, 9 
HICP: TV1 - Practice # 3"
,Notes,,,,,,,
5,How are individual users identified when accessing ePHI?,,,,,,,
,,,Unique IDs and individual passwords are created for authorized workforce members and contractors in order access ePHI.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Assign a separate user account to each user in your organization. Train and regularly remind users that they must never share their passwords. Require each user to create an account password that is different from the ones used for personal internet or e-mail access (e.g., Gmail, Yahoo, Facebook).",1,,Required,"HIPAA: §164.312(a)(2)(i) 
NIST CSF: PR.AA, PR.IR, DE.CM 
HPH CPG: 8, 9 
HICP: TV1 - Practice # 3"
,,,Unique IDs are required to access ePHI but these are not always used. Generic or shared accounts also exist that have access to ePHI and are not specific to unique users.,"If you do not have policies requiring use of a unique identifier for all users accessing ePHI, you might not be able to keep track of authorized users and the roles and responsibilities assigned to them. Assign a separate user account to each user in your organization. Train and regularly remind users that they must never share their passwords. Require each user to create an account password that is different from the ones used for personal internet or e-mail access (e.g., Gmail, Yahoo, Facebook).",0,,Required,"HIPAA: §164.312(a)(2)(i) 
NIST CSF: PR.AA, PR.IR, DE.CM 
HPH CPG: 8, 9 
HICP: TV1 - Practice # 3"
,,,Generic usernames and/or shared passwords are used to access ePHI.,"If you do not have policies requiring use of a unique identifier for all users accessing ePHI, you might not be able to keep track of authorized users and the roles and responsibilities assigned to them. Assign a separate user account to each user in your organization. Train and regularly remind users that they must never share their passwords. Require each user to create an account password that is different from the ones used for personal internet or e-mail access (e.g., Gmail, Yahoo, Facebook).",0,,Required,"HIPAA: §164.312(a)(2)(i) 
NIST CSF: PR.AA, PR.IR, DE.CM 
HPH CPG: 8, 9 
HICP: TV1 - Practice # 3"
,,,We do not have a process to authenticate users with unique IDs.,"If you do not have policies requiring use of a unique identifier for all users accessing ePHI, you might not be able to keep track of authorized users and the roles and responsibilities assigned to them. Assign a separate user account to each user in your organization. Train and regularly remind users that they must never share their passwords. Require each user to create an account password that is different from the ones used for personal internet or e-mail access (e.g., Gmail, Yahoo, Facebook).",0,,Required,"HIPAA: §164.312(a)(2)(i) 
NIST CSF: PR.AA, PR.IR, DE.CM 
HPH CPG: 8, 9 
HICP: TV1 - Practice # 3"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.312(a)(2)(i) 
NIST CSF: PR.AA, PR.IR, DE.CM 
HPH CPG: 8, 9 
HICP: TV1 - Practice # 3"
,Notes,,,,,,,
6,Do you ensure all of your workforce members have appropriate access to ePHI?,,,,,,,
,,,"Yes. We have written procedures to ensure workforce members' access privileges are the minimum necessary (i.e., ""need to know"") based on their roles. These access privileges are approved by the security officer.","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. As user accounts are established, the accounts must be granted access to the organization's computers and programs, as appropriate to each user. Consider following the ""minimum necessary"" principle associated with the HIPAA Privacy Rule. Allow each user access only to the computers and programs required to accomplish that user's job or role in the organization. This limits the organization's exposure to unauthorized access, loss, and theft of data if the user's identity or access is compromised.",1,,Required,"HIPAA: §164.308(a)(3)(i) 
NIST CSF: PR.AT, PR.AA, PR.IR, PR.PS 
HPH CPG: 9 
HICP: TV1 - Practice # 3,4"
,,,Yes. We have written procedures to ensure workforce members' access privileges are the minimum necessary but these are not always based on their roles. ,"You should implement and document procedures to ensure workforce members have access privileges based on their role and no higher than necessary to perform their duties. These procedures and access privileges should be appropriately approved and communicated. As user accounts are established, the accounts must be granted access to the organization's computers and programs, as appropriate to each user. Consider following the ""minimum necessary"" principle associated with the HIPAA Privacy Rule. Allow each user access only to the computers and programs required to accomplish that user's job or role in the organization. This limits the organization's exposure to unauthorized access, loss, and theft of data if the user's identity or access is compromised.",0,,Required,"HIPAA: §164.308(a)(3)(i) 
NIST CSF: PR.AT, PR.AA, PR.IR, PR.PS 
HPH CPG: 9 
HICP: TV1 - Practice # 3,4"
,,,Yes. We verbally communicate access privileges to our workforce members but we do not have written procedures.,"You should implement and document procedures to ensure workforce members have access privileges based on their role and no higher than necessary to perform their duties. These procedures and access privileges should be appropriately approved and communicated. As user accounts are established, the accounts must be granted access to the organization's computers and programs, as appropriate to each user. Consider following the ""minimum necessary"" principle associated with the HIPAA Privacy Rule. Allow each user access only to the computers and programs required to accomplish that user's job or role in the organization. This limits the organization's exposure to unauthorized access, loss, and theft of data if the user's identity or access is compromised.",0,,Required,"HIPAA: §164.308(a)(3)(i) 
NIST CSF: PR.AT, PR.AA, PR.IR, PR.PS 
HPH CPG: 9 
HICP: TV1 - Practice # 3,4"
,,,No. We do not have any procedures for ensuring appropriate workforce member access to ePHI.,"You should implement and document procedures to ensure workforce members have access privileges based on their role and no higher than necessary to perform their duties. These procedures and access privileges should be appropriately approved and communicated. As user accounts are established, the accounts must be granted access to the organization's computers and programs, as appropriate to each user. Consider following the ""minimum necessary"" principle associated with the HIPAA Privacy Rule. Allow each user access only to the computers and programs required to accomplish that user's job or role in the organization. This limits the organization's exposure to unauthorized access, loss, and theft of data if the user's identity or access is compromised.",0,,Required,"HIPAA: §164.308(a)(3)(i) 
NIST CSF: PR.AT, PR.AA, PR.IR, PR.PS 
HPH CPG: 9 
HICP: TV1 - Practice # 3,4"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(3)(i) 
NIST CSF: PR.AT, PR.AA, PR.IR, PR.PS 
HPH CPG: 9 
HICP: TV1 - Practice # 3,4"
,Notes,,,,,,,
7,"How do you make sure that your workforce's designated access to ePHI is logical, consistent, and appropriate?",,,,,,,
,,,Workforce members are granted access based on the minimum amount necessary for their role. This is consistently applied across the practice and any changes must be formally approved and documented.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Tailor access for each user based on the user's specific workplace requirements. Most users require access to common systems, such as e-mail and file servers. Implementing tailored access is usually called provisioning.",1,,Required,"HIPAA: §164.308(a)(3)(i) 
NIST CSF: PR.AT, PR.PS, DE.CM
HPH CPG: 3, 8, 9 
HICP: TV1 - Practice # 3,4"
,,,"Workforce members have a default level of access for their role, but exceptions are commonly granted.  ","Review role-based access to determine how specific you can designate access for users, based on their roles. Implement and document procedures to ensure minimum necessary access is in place across the board to the extent reasonable and appropriate. If access exceptions are commonly granted, they should be documented and policies should be in place outlining the procedure for access exceptions. Tailor access for each user based on the user's specific workplace requirements. Most users require access to common systems, such as e-mail and file servers. Implementing tailored access is usually called provisioning.",0,,Required,"HIPAA: §164.308(a)(3)(i) 
NIST CSF: PR.AT, PR.PS, DE.CM
HPH CPG: 3, 8, 9 
HICP: TV1 - Practice # 3,4"
,,,"Our software vendor designates access to users, e.g. based on their role as indicated in the system.","Review role-based access to determine how specific you can designate access for users, based on their roles. Implement and document procedures to ensure minimum necessary access is in place across the board to the extent reasonable and appropriate. If access exceptions are commonly granted, they should be documented and policies should be in place outlining the procedure for access exceptions. Tailor access for each user based on the user's specific workplace requirements. Most users require access to common systems, such as e-mail and file servers. Implementing tailored access is usually called provisioning.",0,,Required,"HIPAA: §164.308(a)(3)(i) 
NIST CSF: PR.AT, PR.PS, DE.CM
HPH CPG: 3, 8, 9 
HICP: TV1 - Practice # 3,4"
,,,We do not have a procedure for ensuring user access is appropriate for their role.,"Review role-based access to determine how specific you can designate access for users, based on their roles. Implement and document procedures to ensure minimum necessary access is in place across the board to the extent reasonable and appropriate. If access exceptions are commonly granted, they should be documented and policies should be in place outlining the procedure for access exceptions. Tailor access for each user based on the user's specific workplace requirements. Most users require access to common systems, such as e-mail and file servers. Implementing tailored access is usually called provisioning.",0,,Required,"HIPAA: §164.308(a)(3)(i) 
NIST CSF: PR.AT, PR.PS, DE.CM
HPH CPG: 3, 8, 9 
HICP: TV1 - Practice # 3,4"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(3)(i) 
NIST CSF: PR.AT, PR.PS, DE.CM
HPH CPG: 3, 8, 9 
HICP: TV1 - Practice # 3,4"
,Notes,,,,,,,
8,Do you use encryption everywhere ePHI is stored throughout your organization?,,,,,,,
,,,Yes.,"This is the most effective option. Whenever reasonable and appropriate implement a mechanism to encrypt and decrypt ePHI. Install encryption software on every endpoint that connects to your EHR system, especially mobile devices such as laptops. Maintain audit trails of this encryption in case a device is ever lost or stolen. This simple and inexpensive precaution may prevent a complicated and expensive breach. If supported by the manufacturer, medical devices should have local encryption enabled (if reasonable and appropriate) in case the device is stolen. Implement an e-mail encryption module that enables users to securely send e-mails to external recipients or to protect information that should only be seen by authorized individuals.",1,,Addressable,"HIPAA: §164.312(a)(2)(iv) 
NIST CSF: PR.DS, PR.MA 
HPH CPG: 5 
HICP: TV1 - Practice # 1, 4"
,,,No. ,"You might not be able to ensure access to ePHI is denied to unauthorized users if you do not use encryption/decryption methods to control access to ePHI and other health information. Whenever reasonable and appropriate implement a mechanism to encrypt and decrypt ePHI. Install encryption software on every endpoint that connects to your EHR system, especially mobile devices such as laptops. Maintain audit trails of this encryption in case a device is ever lost or stolen. This simple and inexpensive precaution may prevent a complicated and expensive breach. If supported by the manufacturer, medical devices should have local encryption enabled (if reasonable and appropriate) in case the device is stolen. Implement an e-mail encryption module that enables users to securely send e-mails to external recipients or to protect information that should only be seen by authorized individuals.",0,,Addressable,"HIPAA: §164.312(a)(2)(iv) 
NIST CSF: PR.DS, PR.MA 
HPH CPG: 5 
HICP: TV1 - Practice # 1, 4"
,,,We have not comprehensively evaluated whether encryption is reasonable or appropriate to implement on our devices and information systems. ,"You should evaluate whether encryption is reasonable and appropriate to implement. You might not be able to ensure access to ePHI is denied to unauthorized users if you do not use encryption/decryption methods to control access to ePHI and other health information. Install encryption software on every endpoint that connects to your EHR system, especially mobile devices such as laptops. Maintain audit trails of this encryption in case a device is ever lost or stolen. This simple and inexpensive precaution may prevent a complicated and expensive breach. If supported by the manufacturer, medical devices should have local encryption enabled (if reasonable and appropriate) in case the device is stolen. Implement an e-mail encryption module that enables users to securely send e-mails to external recipients or to protect information that should only be seen by authorized individuals.",0,,Addressable,"HIPAA: §164.312(a)(2)(iv) 
NIST CSF: PR.DS, PR.MA 
HPH CPG: 5 
HICP: TV1 - Practice # 1, 4"
,,,I don't know. ,"You might not be able to ensure access to ePHI is denied to unauthorized users if you do not use encryption/decryption methods to control access to ePHI and other health information. Whenever reasonable and appropriate implement a mechanism to encrypt and decrypt ePHI. Install encryption software on every endpoint that connects to your EHR system, especially mobile devices such as laptops. Maintain audit trails of this encryption in case a device is ever lost or stolen. This simple and inexpensive precaution may prevent a complicated and expensive breach. If supported by the manufacturer, medical devices should have local encryption enabled (if reasonable and appropriate) in case the device is stolen. Implement an e-mail encryption module that enables users to securely send e-mails to external recipients or to protect information that should only be seen by authorized individuals.",0,,Addressable,"HIPAA: §164.312(a)(2)(iv) 
NIST CSF: PR.DS, PR.MA 
HPH CPG: 5 
HICP: TV1 - Practice # 1, 4"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Addressable,"HIPAA: §164.312(a)(2)(iv) 
NIST CSF: PR.DS, PR.MA 
HPH CPG: 5 
HICP: TV1 - Practice # 1, 4"
,Notes,,,,,,,
9,What procedures do you have in place to encrypt ePHI when deemed reasonable and appropriate?,,,,,,,
,,,"Encryption is evaluated as part of our risk management process. We have procedures in place to encrypt ePHI at rest (e.g., USB drives or tapes) and in transit (e.g., email or cloud EHR) whenever reasonable and appropriate, and find an alternative safeguard when not reasonable and appropriate.","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Install encryption software on every endpoint that connects to your EHR system, especially mobile devices such as laptops. Maintain audit trails of this encryption in case a device is ever lost or stolen. This simple and inexpensive precaution may prevent a complicated and expensive breach. Provide regular training on encryption.",1,,Addressable,"HIPAA: §164.312(e)(2)(ii) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.PS 
HPH CPG: 5 
HICP: TV1 - Practice # 1, 4"
,,,"We have procedures in place to encrypt ePHI in transit (e.g., email or cloud EHR) but not at rest (e.g., USB drives or tapes) whenever reasonable and appropriate.","Consider encrypting ePHI when it is in transmission as well as when at rest as part of your risk management process. If encryption is determined not reasonable and appropriate, document the reason why and implement an equivalent, alternative safeguard. Install encryption software on every endpoint that connects to your EHR system, especially mobile devices such as laptops. Maintain audit trails of this encryption in case a device is ever lost or stolen. This simple and inexpensive precaution may prevent a complicated and expensive breach. Provide regular training on encryption.",0,,Addressable,"HIPAA: §164.312(e)(2)(ii) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.PS 
HPH CPG: 5 
HICP: TV1 - Practice # 1, 4"
,,,"We have procedures in place to encrypt ePHI at rest (e.g., USB drives or tapes) but not in transit (e.g., email or cloud EHR) whenever reasonable and appropriate.","Consider encrypting ePHI when it is in transmission as well as when at rest as part of your risk management process. If encryption is determined not reasonable and appropriate, document the reason why and implement an equivalent, alternative safeguard. Install encryption software on every endpoint that connects to your EHR system, especially mobile devices such as laptops. Maintain audit trails of this encryption in case a device is ever lost or stolen. This simple and inexpensive precaution may prevent a complicated and expensive breach. Provide regular training on encryption.",0,,Addressable,"HIPAA: §164.312(e)(2)(ii) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.PS 
HPH CPG: 5 
HICP: TV1 - Practice # 1, 4"
,,,Other.,"Consider encrypting ePHI when it is in transmission as well as when at rest as part of your risk management process. If encryption is determined not reasonable and appropriate, document the reason why and implement an equivalent, alternative safeguard. Install encryption software on every endpoint that connects to your EHR system, especially mobile devices such as laptops. Maintain audit trails of this encryption in case a device is ever lost or stolen. This simple and inexpensive precaution may prevent a complicated and expensive breach. Provide regular training on encryption.",0,,Addressable,"HIPAA: §164.312(e)(2)(ii) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.PS 
HPH CPG: 5 
HICP: TV1 - Practice # 1, 4"
,,,I don't know.,"Consider encrypting ePHI when it is in transmission as well as when at rest as part of your risk management process. If encryption is determined not reasonable and appropriate, document the reason why and implement an equivalent, alternative safeguard. Install encryption software on every endpoint that connects to your EHR system, especially mobile devices such as laptops. Maintain audit trails of this encryption in case a device is ever lost or stolen. This simple and inexpensive precaution may prevent a complicated and expensive breach. Provide regular training on encryption.",0,,Addressable,"HIPAA: §164.312(e)(2)(ii) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.PS 
HPH CPG: 5 
HICP: TV1 - Practice # 1, 4"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Addressable,"HIPAA: §164.312(e)(2)(ii) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.PS 
HPH CPG: 5 
HICP: TV1 - Practice # 1, 4"
,Notes,,,,,,,
10,Do you use alternative safeguards in place of encryption?,,,,,,,
,,,"Yes. When encryption is not reasonable or appropriate, we implement an alternative safeguard and document as appropriate.","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. For ePHI that is not, or cannot, be encrypted, or that is managed by a third party, implement and document alternate security controls to minimize theft or unauthorized removal. Example controls could include anti-theft cables, locks on rooms where the devices are located, user authorization restrictions, and badge readers to monitor access to rooms where devices are located. ",1,,Addressable,"HIPAA: N/A 
NIST CSF: GV.RR, GV.PO, GV.OV, PR.DS, PR.PS, ID.RA 
HPH CPG: 5 
HICP: TV1 - Practice # 2"
